Player 1,Player 2,Player 3,Winner Char,Winner Name
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Revising,Player_2
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Revising,Skeptical,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Credulous,Player_3
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Credulous,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Skeptical,Player_3
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Credulous,Player_2
,,,,
Revising,Credulous,Skeptical,Revising,Player_1
,,,,
Revising,Credulous,Skeptical,Skeptical,Player_3
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_3
,,,,
Revising,Credulous,Revising,Revising,Player_1
,,,,
Revising,Credulous,Revising,Revising,Player_3
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Credulous,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Skeptical,Player_2
,,,,
Revising,Skeptical,Skeptical,Skeptical,Player_2
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Revising,Player_1
,,,,
Revising,Skeptical,Skeptical,Skeptical,Player_2
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Skeptical,Revising,Revising,Player_3
,,,,
Revising,Skeptical,Revising,Revising,Player_1
,,,,
Revising,Revising,Credulous,Credulous,Player_3
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Credulous,Revising,Player_2
,,,,
Revising,Revising,Credulous,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Skeptical,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
,,,,
Revising,Revising,Revising,Revising,Player_1
